sku;name;produzent;land;url;bild;hintergrundbild;isOwnWine
1199470;Primitivo Puglia IGP Senza Parole;Senza Parole;Italien;https://www.flaschenpost.ch/primitivo-puglia-igp-senza-parole_senza-parole?_size=500&_vintage=2023;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiOGJjYzg4MTItMDkxNy00ODkyLTk3ZDUtOTMyOGJiZWVhMTlkLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiMjMzNWZkNTgtYTA4Zi00N2Q5LWFiMDYtZjJkYjQ4ZmRmNjYzLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjQwMH0sInRyaW0iOjAuMX19;false
1203074;Primitivo Puglia IGP Senza Parole;Senza Parole;Italien;https://www.flaschenpost.ch/primitivo-puglia-igp-senza-parole_senza-parole?_size=187&_vintage=2023&_packaging=Spezialverpackung&_sku=1203074;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiMmJiYjNlNWUtNTA4OS00MzFiLTkzOWEtMzU5ZTNhNTNiNmQ4LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiMjMzNWZkNTgtYTA4Zi00N2Q5LWFiMDYtZjJkYjQ4ZmRmNjYzLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjQwMH0sInRyaW0iOjAuMX19;false
1197676;Spumante Bianco Senza Parole;Senza Parole;Italien;https://www.flaschenpost.ch/spumante-bianco-senza-parole_senza-parole?_size=750&_vintage=0;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiNzMwMjBhNjItMzk3Yy00MWU0LWI5ZjEtNWY0YTMzOTA4OGQ2LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZmIwZWIyY2EtY2QzZS00OTVmLWJmMTItNjdlN2IzMDI5MDdhLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjQwMH0sInRyaW0iOjAuMX19;false
1197677;Spumante Rosato;Senza Parole;Italien;https://www.flaschenpost.ch/spumante-rosato_senza-parole?_size=750&_vintage=0;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiNDlhY2FmZDMtNjMzNy00MmI5LWI4YWEtMDY0ODE2NmU5YTljLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiYTcyMGI1OTQtODM4My00NDNmLWIwMGYtYjhmODAzOTZiYmIwLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjQwMH0sInRyaW0iOjAuMX19;false
1203058;Vino Bianco d'Italia;Senza Parole;Italien;https://www.flaschenpost.ch/bianco-di-chieti-igt-amabile_senza-parole?_size=500&_vintage=2024;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZGNmOTkxMjAtMWNmMC00NTQyLTkzZGEtZmIyY2Q3YzZlOGUzLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZWQ4OGNhMzYtMGM0MC00MGZhLWIzN2UtY2MwNWIwYTI0N2FjLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjQwMH0sInRyaW0iOjAuMX19;false
1204893;Vino Bianco d'Italia;Senza Parole;Italien;https://www.flaschenpost.ch/bianco-di-chieti-igt-amabile_senza-parole?_size=750&_vintage=2024;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZWQwNjlkNzktNWJhZi00MGEzLTg1NmQtZDFlNWNhMzNlNGUzLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZWQ4OGNhMzYtMGM0MC00MGZhLWIzN2UtY2MwNWIwYTI0N2FjLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjQwMH0sInRyaW0iOjAuMX19;false
1203075;Vino Bianco d'Italia;Senza Parole;Italien;https://www.flaschenpost.ch/bianco-di-chieti-igt-amabile_senza-parole?_size=187&_vintage=2024&_packaging=Spezialverpackung&_sku=1203075;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiYzUyOGRlMjEtNmY1My00NjY3LTk2MDItYzRjMTFiODRhYzhhLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZWQ4OGNhMzYtMGM0MC00MGZhLWIzN2UtY2MwNWIwYTI0N2FjLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjQwMH0sInRyaW0iOjAuMX19;false
1211241;Vino Bianco di Puglia IGP Limited Edition;Senza Parole;Italien;https://www.flaschenpost.ch/vino-bianco-di-puglia-igp-limited-edition_senza-parole?_size=750&_vintage=2024;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZWE4MTdmZmYtZDQ0ZC00Y2NmLTkwYWEtNzIyYzYzMjFjNjBmLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;;false
1205601;Vino Rosato d'Italia;Senza Parole;Italien;https://www.flaschenpost.ch/vino-rosato-d-italia_senza-parole?_size=750&_vintage=2024;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZDBlY2UyOTItZjMzZC00NGNlLTg4OTMtNmZkYmQ2NzExYjRlLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZjE5ZWUyMTktNDJiZi00YWZmLWIwYTAtYjBkNzEwOWIwYTY3LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjQwMH0sInRyaW0iOjAuMX19;false
1205879;Vino Rosato d'Italia;Senza Parole;Italien;https://www.flaschenpost.ch/vino-rosato-d-italia_senza-parole?_size=500&_vintage=2024;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiMTlkNTIzYTktMWRkNS00MjQ2LTlkMWUtMjY3ZTNmNjE1MThmLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19;https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiZjE5ZWUyMTktNDJiZi00YWZmLWIwYTAtYjBkNzEwOWIwYTY3LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjQwMH0sInRyaW0iOjAuMX19;false
